"STT","Username","FullName","BaseEmail","Email","Password","CreatedAtLocal","FirebaseStatus","DbStatus","DbUserId","Error"
"1","nguyenminhanh","Nguyễn Minh Anh","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+nguyen.minh.anh@gmail.com","nguyenminhanh@123456@","2026-06-18 03:09:23","AssumedExisting","Updated","14",""
"2","tranhoangnam","Trần Hoàng Nam","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+tran.hoang.nam@gmail.com","tranhoangnam@123456@","2026-06-18 11:18:33","AssumedExisting","Updated","15",""
"3","lequynhchi","Lê Quỳnh Chi","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+le.quynh.chi@gmail.com","lequynhchi@123456@","2026-06-18 19:39:04","AssumedExisting","Updated","16",""
"4","phamduybao","Phạm Duy Bảo","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+pham.duy.bao@gmail.com","phamduybao@123456@","2026-06-18 22:32:00","AssumedExisting","Updated","17",""
"5","hoangthanhtruc","Hoàng Thanh Trúc","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+hoang.thanh.truc@gmail.com","hoangthanhtruc@123456@","2026-06-19 03:48:51","AssumedExisting","Updated","18",""
"6","huynhgiabao","Huỳnh Gia Bảo","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+huynh.gia.bao@gmail.com","huynhgiabao@123456@","2026-06-19 13:14:38","AssumedExisting","Updated","19",""
"7","phanngocmai","Phan Ngọc Mai","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+phan.ngoc.mai@gmail.com","phanngocmai@123456@","2026-06-19 19:26:19","AssumedExisting","Updated","20",""
"8","vuminhkhang","Vũ Minh Khang","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+vu.minh.khang@gmail.com","vuminhkhang@123456@","2026-06-20 04:09:13","AssumedExisting","Updated","21",""
"9","vodieulinh","Võ Diệu Linh","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+vo.dieu.linh@gmail.com","vodieulinh@123456@","2026-06-20 08:57:57","AssumedExisting","Updated","22",""
"10","dangquanghuy","Đặng Quang Huy","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+dang.quang.huy@gmail.com","dangquanghuy@123456@","2026-06-20 21:23:51","AssumedExisting","Updated","23",""
"11","buithanhha","Bùi Thanh Hà","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+bui.thanh.ha@gmail.com","buithanhha@123456@","2026-06-21 01:52:13","AssumedExisting","Updated","24",""
"12","dothienan","Đỗ Thiên An","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+do.thien.an@gmail.com","dothienan@123456@","2026-06-21 09:01:03","AssumedExisting","Updated","25",""
"13","honhatminh","Hồ Nhật Minh","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+ho.nhat.minh@gmail.com","honhatminh@123456@","2026-06-21 12:05:15","AssumedExisting","Updated","26",""
"14","ngobaongoc","Ngô Bảo Ngọc","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+ngo.bao.ngoc@gmail.com","ngobaongoc@123456@","2026-06-21 19:35:35","AssumedExisting","Updated","27",""
"15","duongkhanhvy","Dương Khánh Vy","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+duong.khanh.vy@gmail.com","duongkhanhvy@123456@","2026-06-22 04:59:59","AssumedExisting","Updated","28",""
"16","lyanhkhoa","Lý Anh Khoa","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+ly.anh.khoa@gmail.com","lyanhkhoa@123456@","2026-06-22 14:38:45","AssumedExisting","Updated","29",""
"17","truongminhthu","Trương Minh Thư","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+truong.minh.thu@gmail.com","truongminhthu@123456@","2026-06-22 16:55:52","AssumedExisting","Updated","30",""
"18","dinhbaochau","Đinh Bảo Châu","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+dinh.bao.chau@gmail.com","dinhbaochau@123456@","2026-06-22 23:40:07","AssumedExisting","Updated","31",""
"19","maingocanh","Mai Ngọc Anh","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+mai.ngoc.anh@gmail.com","maingocanh@123456@","2026-06-23 06:29:52","AssumedExisting","Updated","32",""
"20","caothanhphong","Cao Thanh Phong","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+cao.thanh.phong@gmail.com","caothanhphong@123456@","2026-06-23 12:41:34","AssumedExisting","Updated","33",""
"21","nguyenhoanganh","Nguyễn Hoàng Anh","phamngockhoinguyen2708@gmail.com","phamngockhoinguyen2708+nguyen.hoang.anh@gmail.com","nguyenhoanganh@123456@","2026-06-23 21:57:03","AssumedExisting","Updated","34",""
